id,task_id,project_id,task_name,status,assigned_to,due_date,created_at,synced_at
080c03c1-a1da-4a27-a626-7605f3758a13,1001,101,Setup project infrastructure,completed,John Smith,2026-01-20,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
f4adf63c-c183-4456-ab65-53895b20afc4,1002,101,Create wireframes,completed,Lisa Wong,2026-01-25,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
93b5d69c-0f9c-4edd-8806-e6f6f6c296d6,1003,101,Develop homepage,in_progress,John Smith,2026-02-15,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
672394c0-aa9d-4611-85f8-bd81db872f78,1004,101,Write product copy,in_progress,Ahmed Hassan,2026-02-20,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
c3e77990-357f-4d5e-8ac8-2669d68e31dc,1005,102,Brand research,completed,Lisa Wong,2026-02-01,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
72970aae-5418-4138-bd6c-2c2f9538ce81,1006,102,Competitor analysis,completed,Carlos Rivera,2026-02-05,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
372116a5-be5c-4cb9-baef-de245c921f39,1007,102,Design mockups,in_progress,Lisa Wong,2026-02-28,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
ee8ae981-33e6-42ab-b331-452b318140f5,1008,103,Content strategy document,completed,Nina Patel,2026-02-10,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
e664efc3-426f-4282-88f2-6dd8d82ca249,1009,103,Social media calendar,in_progress,Ahmed Hassan,2026-02-25,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
b13352ce-a24d-471e-8cef-410df55487d4,1010,103,Analytics setup,todo,Carlos Rivera,2026-03-01,2026-02-24 11:31:31.825974+00,2026-02-24 11:31:31.825974+00
