id,project_id,title,description,status,priority,assigned_to,due_date,activecollab_task_id,created_at,updated_at,actual_hours,completed_at
8e854239-a3eb-4dd9-9c01-acd877300637,f2000000-0000-0000-0000-000000000001,Design landing page,Create landing page mockups,in_progress,high,c5806b04-2637-4c5d-bfba-a0c93188d879,2026-02-01,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,13.1,
4e681dd7-d9ab-4f03-899a-42f7b170642e,f2000000-0000-0000-0000-000000000001,Write ad copy,Create ad copy for all platforms,todo,medium,b31fefe1-d78f-4160-85d3-298bccf9e02e,2026-02-15,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,0,
cde239b4-3ccd-4c4d-a48c-db942baf8b9f,f2000000-0000-0000-0000-000000000002,Logo concepts,Create 3-5 logo concepts,in_progress,high,c5806b04-2637-4c5d-bfba-a0c93188d879,2026-02-28,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,7.1,
0a1303ea-4bb3-4ac1-adff-127445c7b688,f2000000-0000-0000-0000-000000000002,Brand guidelines doc,Create brand guidelines document,todo,medium,c5806b04-2637-4c5d-bfba-a0c93188d879,2026-03-15,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,0,
6c5fbfee-1daf-4411-ac09-c750eb082274,f2000000-0000-0000-0000-000000000003,Content calendar,Create 3-month content calendar,in_progress,medium,b31fefe1-d78f-4160-85d3-298bccf9e02e,2026-02-28,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,8.6,
cc646947-1e70-4cdc-b534-cb9216fdbe9b,f2000000-0000-0000-0000-000000000005,Write 5 blog posts,Create initial batch of blog posts,in_progress,medium,b31fefe1-d78f-4160-85d3-298bccf9e02e,2026-03-01,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,5.1,
5a7820f3-baad-450c-9840-6ac3e771353e,f2000000-0000-0000-0000-000000000005,SEO optimization,Optimize existing content for SEO,todo,medium,afa2dd3c-4213-4137-a743-12c7c65b4e7d,2026-03-15,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,0,
da500002-0000-0000-0000-000000000002,6e305856-fa04-44c6-9186-1058bc55e202,LinkedIn content creation,Write 20 LinkedIn posts with AI assistance,in_progress,high,c5806b04-2637-4c5d-bfba-a0c93188d879,2026-03-12,,2026-01-07 08:27:34.694116+00,2026-02-16 08:27:34.694116+00,12.9,
00000000-0000-0000-0002-000000000002,6e305856-fa04-44c6-9186-1058bc55e202,LinkedIn content creation,Write 20 LinkedIn posts using brand voice guidelines,in_progress,high,,2026-02-28,,2026-01-08 06:59:22.555052+00,2026-02-17 06:59:22.555052+00,48,
00000000-0000-0000-0002-000000000003,6e305856-fa04-44c6-9186-1058bc55e202,SEO blog production,Create 10 SEO-optimized blog posts targeting top buyer keywords,in_progress,high,,2026-03-15,,2026-01-13 06:59:22.555052+00,2026-02-22 06:59:22.555052+00,22,
00000000-0000-0000-0002-000000000004,6e305856-fa04-44c6-9186-1058bc55e202,Video production,Create 3 product demo videos with professional voiceover,todo,medium,,2026-03-31,,2026-01-18 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000005,6e305856-fa04-44c6-9186-1058bc55e202,Client review and approval,Present Q1 plan and first asset batch to client for sign-off,review,urgent,,2026-02-28,,2026-02-12 06:59:22.555052+00,2026-02-24 06:59:22.555052+00,2,
00000000-0000-0000-0002-000000000007,1c25193b-616f-4bc7-a8f2-b7976faee2ba,February blog posts (4),Create 4 SEO blogs on DevOps and cloud-native topics,in_progress,high,,2026-02-28,,2026-02-02 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,10,
00000000-0000-0000-0002-000000000008,1c25193b-616f-4bc7-a8f2-b7976faee2ba,Whitepaper: Cloud-native transformation,Write 3000-word technical whitepaper on cloud architecture,blocked,high,,2026-03-31,,2026-02-19 06:59:22.555052+00,2026-02-25 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000009,1c25193b-616f-4bc7-a8f2-b7976faee2ba,March content calendar,Plan and schedule all March content across channels,todo,medium,,2026-03-05,,2026-02-22 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000011,f2000000-0000-0000-0000-000000000001,Paid media setup,Configure Google Ads and LinkedIn campaign structures,in_progress,high,,2026-02-20,,2026-01-28 06:59:22.555052+00,2026-02-22 06:59:22.555052+00,6,
