id,name,description,category,system_prompt,model_provider,model_version,is_active,created_by,knowledge_sources,external_data_sources,fallback_provider,created_at,updated_at,slug,is_enabled,scope,data_sources,schedule_config,output_actions,config
c1000000-0000-0000-0000-000000000001,LinkedIn Content Creator,Creates engaging LinkedIn posts for thought leaders,linkedin,You are a LinkedIn content specialist...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,linkedin-content-creator,t,global,[],,,
c1000000-0000-0000-0000-000000000002,Business Analyst,Analyzes business data and provides insights,business_analysis,You are a business analysis expert...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,business-analyst,t,global,[],,,
c1000000-0000-0000-0000-000000000003,SEO Blog Writer,Creates SEO-optimized blog content,seo,You are an SEO content writer...,gemini,gemini-2.0-pro,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,seo-blog-writer,t,global,[],,,
c1000000-0000-0000-0000-000000000004,Email Campaign Agent,Creates client email campaigns,client_email,You create professional email campaigns...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,email-campaign-agent,t,global,[],,,
c1000000-0000-0000-0000-000000000006,Social Media Analyst,Analyzes social media performance,analytics,You analyze social media metrics...,gemini,gemini-2.0-pro,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,social-media-analyst,t,global,[],,,
c1000000-0000-0000-0000-000000000007,Newsletter Curator,Curates newsletter content,newsletter,You curate industry newsletters...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,newsletter-curator,t,global,[],,,
c1000000-0000-0000-0000-000000000008,Chief of Staff,Executive assistant and task coordinator,management,You are a chief of staff AI...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,chief-of-staff,t,global,[],,,
c1000000-0000-0000-0000-000000000009,Brand Voice Analyst,Analyzes and maintains brand voice consistency,brand,You analyze brand voice...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,brand-voice-analyst,t,global,[],,,
c1000000-0000-0000-0000-000000000010,Competitor Research,Researches competitor strategies,research,You research competitors...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,competitor-research,t,global,[],,,
c1000000-0000-0000-0000-000000000011,Client Report Generator,Generates client performance reports,reporting,You generate client reports...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,client-report-generator,t,global,[],,,
